"Product ID","Code","Name","Quantity Fix","Pallets Fix","Colis Fix","Base Price Fix","Purchase Price Fix"
"3051","TECHNO CERAM","OSCAR CREMA RELIEFE 30/90 (M²)","777.6 -> 712.8000000000002","12 -> 11","576 -> 528","1030 -> 1030","950 -> 950"
"3103","ELVA CERAM","OSCAR MATT REC 60/60 (2ÉME)","-12.96 -> 0","0 -> 0","0 -> 0","580 -> 580.0002","520 -> 520"
"3098","CERAM DECOR","OSLO BEIGE RELIEFE 25/80 (M²)","255.6 -> 255.6","3.33 -> 3.328125","213 -> 213","930 -> 930.00006","830 -> 830"
"2987","TECHNO CERAM","OXFORD BLANC REC 60/60","2892.96 -> 2643.8399999999997","55.81 -> 51","2009 -> 1835.9999999999998","1030 -> 1030.00045","950 -> 950"
"3365","CERAM DECOR","PACIFICA BEIGE REC 60/60","820.8 -> 777.5999999999999","15.83 -> 15","570 -> 540","980 -> 979.99964","920 -> 920"
"251","ROYAL CERAM","PALAZZO GRIS LIGHT 20/70","1043.28 -> 1048.32","12.94 -> 13","828 -> 832","950 -> 949.9996","880 -> 880"
"3069","SAM CERAM","PALMYRE NOIR 45/45 (2ÉME)","445.88 -> 408.96","6.54 -> 6","314 -> 288","0 -> 0","6 -> 0"
"2665","TECHNO CERAM","PANAMA TOFFEE 20/75","1842.6 -> 1536","23.99 -> 20","1535.5 -> 1280","1080 -> 1080","1000 -> 1000"
"311","ELVA CERAM","PANDA 120/60","770 -> 770","11 -> 11","385 -> 385","920 -> 920","10 -> 0"
"803","TIMGAD CERAM","PAVILLON GRAFITO 26/47","78.08 -> 78.08","1 -> 1","64 -> 64","1100 -> 1100","1 -> 0"
"46","TIMGAD CERAM","PEDRIZA 45/90","1675.485 -> 1496.88","24.62 -> 22","1379 -> 1232","1150 -> 1149.9999","1050 -> 1050"
"108","TIMGAD CERAM","PEDRO POLI REC 120/60","1655.52 -> 1680","23.65 -> 24","827.76 -> 840","1300 -> 1299.9996","1200 -> 1200"
"674","CERAM DECOR","PERADOR BROWN 45/45","89.46 -> 68.16","1.31 -> 1","63 -> 48","750 -> 749.99988","680 -> 680"
"3627","TIMGAD CERAM","PILLAR GRIS POLI REC 120/60","1979.6 -> 1960","28.28 -> 28","989.8 -> 980","1300 -> 1299.9996","1200 -> 1200"
"96","TECHNO CERAM","PINTA GRIS 33/33","1543.08 -> 1552.32","27.83 -> 28","2004 -> 2015.9999999999998","950 -> 949.99995","850 -> 850"
"271","NAF CERAM","PIXEL BEIGE 25/75","117 -> 72","1.63 -> 1","78 -> 48","740 -> 739.99992","660 -> 660"
"3266","NAF CERAM","PIXEL BEIGE RELIEFE 25/75 (M²)","0.75 -> 3","0.01 -> 0.0416666666666667","0.5 -> 2","850 -> 850","760 -> 760"
"3267","NAF CERAM","PIXEL GRIS RELIEFE 25/75 (M²)","45 -> 45","0.63 -> 0.625","30 -> 30","850 -> 849.99996","760 -> 760"
"3629","TIMGAD CERAM","PLAZA GREEN POLI REC 120/60","143.76 -> 140","2.05 -> 2","71.88 -> 70","1300 -> 1299.9996","1200 -> 1200"
"755","TECHNO CERAM","PLINTHE CITY COFFEE 60CM","1743 -> 1743","1.15 -> 1.15277777777778","83 -> 83","1670 -> 1669.99938","1470 -> 1470"
"839","GALA CERAM","PLINTHE COLMAR GRIS 60CM","1500 -> 1500","0.94 -> 0.9375","75 -> 75","1600 -> 1600","1500 -> 0"
"972","SEK CERAM","PLINTHE COMPACT BEIGE 60CM","315 -> 315","0.19 -> 0.1875","15 -> 15","0 -> 0","0 -> 0"
"948","SEK CERAM","PLINTHE COMPACT GRIS 60CM","546 -> 546","0.33 -> 0.325","26 -> 26","0 -> 0","0 -> 0"
"900","SEK CERAM","PLINTHE COMPACT MARON 45CM","1100 -> 1100","0.63 -> 0.625","50 -> 50","0 -> 0","0 -> 0"
"764","TECHNO CERAM","PLINTHE ELSA GRIS 60CM","1590 -> 1617","1.05 -> 1.06944444444444","75.71 -> 77","1670 -> 1669.99938","1470 -> 1470"
"736","TECHNO CERAM","PLINTHE PALMA TOFFEE 60CM","2214 -> 2214","1.46 -> 1.4642857142857102","105.43 -> 105.42857142857143","1670 -> 1669.99938","1470 -> 1470"
"696","TECHNO CERAM","PLINTHE TIGER GRIS 60CM","2898 -> 2898","1.92 -> 1.91666666666667","138 -> 138","1670 -> 1669.99938","1470 -> 1470"
"3634","GRAND CERAM","PORTLAND BEIGE REC 60/60","570.24 -> 570.24","11 -> 11","396 -> 396","0 -> 0","920 -> 0"
"359","ROYAL CERAM","PORTO GRIS REC 60/60","406.08 -> 414.71999999999997","7.83 -> 8","282 -> 288","980 -> 979.99964","920 -> 920"
"3637","TECHNO CERAM","PRESIDENT GRIS RELIEFE 45/90","-41.31 -> 0","0 -> 0","0 -> 0","1200 -> 1199.9999","1100 -> 1100"
"567","TECHNO CERAM","PROSTYLE MARFIL 45/90","3382.56 -> 3499.2000000000003","58 -> 60","2784 -> 2880","1150 -> 1149.9999","1050 -> 1050"
"246","TECHNO CERAM","PROSTYLE SILVER 45/90","4827.195 -> 4840.56","82.77 -> 83","3973 -> 3984","1150 -> 1149.9999","1050 -> 1050"
"3638","TECHNO CERAM","PROSTYLE SILVER RELIEFE 45/90","1086.21 -> 1166.4","18.63 -> 20","894 -> 960","1200 -> 1199.9999","1100 -> 1100"
"1618","TIMGAD CERAM","QUEBEC GRIS TERRE CUITE 45/45","1093.5 -> 1385.1","15 -> 19","1080 -> 1368","870 -> 869.9999","770 -> 770"
"3502","GRAND CERAM","REO REC 60/60","362.88 -> 362.88","7 -> 7","252 -> 252","0 -> 0","920 -> 0"
"3640","TECHNO CERAM","RIMAS NATUREL POLI REC 120/60","4202 -> 4340","60.03 -> 62","2101 -> 2170","1280 -> 1280.0004","1200 -> 1200"
"204","SEK CERAM","RIMES GRIS 30/60","1382.4 -> 1382.4","16 -> 16","768 -> 768","0 -> 0","16 -> 0"
"3642","CERAM DECOR","RIVANO GOLD REC 60/60 (2ÉME)","-0.36 -> 0","0 -> 0","0 -> 0","580 -> 580.0002","520 -> 520"
"786","SEK CERAM","RIVOLI BLANC 60/60","51.84 -> 51.84","1 -> 1","36 -> 36","0 -> 0","1 -> 0"
"245","NAF CERAM","ROCK GRIS FONCE 30/60","777.6 -> 777.6","10 -> 10","720 -> 720","0 -> 0","450 -> 0"
"324","TIMGAD CERAM","RODENO 30/60","1016.64 -> 933.1199999999999","9.81 -> 9","706 -> 648","850 -> 849.99975","750 -> 750"
"345","TIMGAD CERAM","RODENO TERRE CUITE 45/45","203.5125 -> 145.79999999999998","2.79 -> 2","201 -> 144","870 -> 869.9999","770 -> 770"
"3643","NAF CERAM","ROMA BEIGE 25/75","360 -> 360","5 -> 5","240 -> 240","0 -> 0","660 -> 0"
"3644","TECHNO CERAM","ROMA BLANC 30/90","10290.06 -> 2877.1200000000003","132.33 -> 37","6351.89 -> 1776","980 -> 980.0001","900 -> 900"
"153","TECHNO CERAM","ROMA BLANC BRILLANT 45/90","7079.76 -> 2741.0400000000004","121.4 -> 47","5826.96 -> 2256","1150 -> 1149.9999","1050 -> 1050"
"208","TECHNO CERAM","ROMA BLANC BRILLANT REC 60/60","3784.32 -> 3628.7999999999997","73 -> 70","2628 -> 2520","1030 -> 1030.00045","950 -> 950"
"369","TECHNO CERAM","ROMA BLANC BRILLANT RELIEFE 45/90","80.19 -> 58.32000000000001","1.38 -> 1","66 -> 48","1200 -> 1199.9999","1100 -> 1100"
"82","TECHNO CERAM","ROMA BLANC RELIEFE 120/60","1929.2 -> 1890","27.56 -> 27","964.6 -> 945","1080 -> 1080","1000 -> 1000"
"3691","TECHNO CERAM","ROMA BLANC SATINE 60/60","3525.12 -> 3110.3999999999996","68 -> 60","2448 -> 2160","1030 -> 1030.00045","950 -> 950"
"3707","NAF CERAM","ROMA GRIS 25/75","432 -> 360","6 -> 5","288 -> 240","740 -> 0","660 -> 0"
"361","ROYAL CERAM","ROME MARBRE POLI REC 60/60","151.2 -> 155.51999999999998","2.92 -> 3","105 -> 107.99999999999999","1480 -> 1480.0002","1400 -> 1400"
"1762","TIMGAD CERAM","ROSA REC 60/60","4838.4 -> 4561.92","93.33 -> 88","3360 -> 3168","980 -> 979.99964","920 -> 920"
"1284","TIMGAD CERAM","ROX GRIS TERRE CUITE 45/45","1156.275 -> 1020.5999999999999","15.86 -> 14","1142 -> 1008","870 -> 869.9999","770 -> 770"
"488","TIMGAD CERAM","ROZALIA POLI REC 60/60","206.64 -> 207.35999999999999","3.99 -> 4","143.5 -> 144","1480 -> 1480.0002","1400 -> 1400"
"3054","TIMGAD CERAM","SAMARA RELIEFE 45/90 (M²)","798.255 -> 798.2550000000001","11.73 -> 11.7321428571429","657 -> 657","1150 -> 1149.9999","1050 -> 1050"
"2317","GALA CERAM","SAMPA BLANCO 45/45","5237.7877 -> 2606.5728","78.37 -> 39","3761.7 -> 1871.9999999999998","830 -> 830.00025","750 -> 750"
"68","GALA CERAM","SAMPA BLANCO REC 60/60","794.88 -> 881.28","15.33 -> 17","552 -> 612","980 -> 979.99964","920 -> 920"
"3348","TIMGAD CERAM","SAUVAGE POLI REC 45/90","814.455 -> 816.48","11.97 -> 12","670.33 -> 672","1500 -> 1500.0006","1400 -> 1400"
