Group #,Family,Kept ID,Kept Name,Kept Orig Qty,Old ID,Old Name,Old Orig Qty,Old Sales Qty,Old Purchase Qty,Prev Wrongly Added,Correction Applied,Final Qty
"33","TECHNO CERAM","3061","CHICAGO MARFIL RELIEFE 25/75 (M²)","419.2","475","CHICAGO MARFIL RELIEFE 25/75 (Mý)","0","0","0","0","0","419.2"
"34","TIMGAD CERAM","3629","PLAZA GREEN POLI REC 120/60","210","478","PLAZA GREEN POLI/REC 120/60","244","0","0","244","-244","210"
"35","TECHNO CERAM","3217","ROMA BLANC RELIEFE 120/60 (2éme)","350","482","ROMA BLANC RELIEFE 120/60 (2me)","0","0","0","0","0","350"
"36","TIMGAD CERAM","3085","LEO MARFIL RELIEFE 25/75 (M²)","417","495","LEO MARFIL RELIEFE 25/75 (Mý)","0","0","0","0","0","417"
"37","TIMGAD CERAM","3088","GLASS BEIGE RELIEFE 25/75 (M²)","414","500","GLASS BEIGE RELIEFE 25/75 (Mý)","0","0","0","0","0","414"
"38","TECHNO CERAM","3072","TESLA BEIGE RELIEFE 30/90 (M²)","311.04","523","TESLA BEIGE RELIEFE 30/90 (Mý)","0","0","0","0","0","311.04"
"39","TECHNO CERAM","3060","VERONA GRIS RELIEFE 45/90 (M²)","261.36","525","VERONA GRIS RELIEFE 45/90 (Mý)","0","0","0","0","0","261.36"
"40","TECHNO CERAM","3067","VIVA PERLA RELIEFE 30/90 (M²)","77.76","539","VIVA PERLA RELIEFE 30/90 (Mý)","0","0","0","0","0","77.76"
"41","SANI DECOR","3108","SIEGE MONO-BLOCK MATRIX (2éme) (SP-618-PK)","33","554","SIEGE MONO-BLOCK MATRIX (2me) (SP-618-PK)","0","0","0","0","0","33"
"42","CERAM DECOR","3098","OSLO BEIGE RELIEFE 25/80 (M²)","255.6","555","OSLO BEIGE RELIEFE 25/80 (Mý)","0","0","0","0","0","255.6"
"43","TIMGAD CERAM","3095","MARBELLA RELIEFE 30/90 (42C) (M²)","183.06","563","MARBELLA RELIEFE 30/90 (42C) (Mý)","0","0","0","0","0","183.06"
"44","SANI DECOR","3145","SIEGE SEPARE PRIMA (2éme) (SD-751-ECO)","3","572","SIEGE SEPARE PRIMA (2me) (SD-751-ECO)","0","0","0","0","0","3"
"45","TECHNO CERAM","3053","URBAIN PERLA SIMPLE RELIEFE 30/90 (M²)","155.52","585","URBAIN PERLA SIMPLE RELIEFE 30/90 (Mý)","0","0","0","0","0","155.52"
"46","TECHNO CERAM","3056","ITALY BLANC RELIEFE (B) 25/75 (M²)","251.52","588","ITALY BLANC RELIEFE (B) 25/75 (Mý)","0","0","0","0","0","251.52"
"47","TECHNO CERAM","3055","ITALY BLANC RELIEFE (A) 25/75 (M²)","167.68","589","ITALY BLANC RELIEFE (A) 25/75 (Mý)","0","0","0","0","0","167.68"
